island,species,sex,mean,std
Biscoe,Adelie,Female,3369.318181818182,343.47071495926986
Biscoe,Adelie,Male,4050.0,355.567956132961
Biscoe,Gentoo,Female,4679.741379310345,281.57829364263085
Biscoe,Gentoo,Male,5484.836065573771,313.1585956203804
Dream,Adelie,Female,3344.4444444444443,212.05647530303978
Dream,Adelie,Male,4045.535714285714,330.54763562607656
Dream,Chinstrap,Female,3527.205882352941,285.333911718307
Dream,Chinstrap,Male,3938.970588235294,362.1375500681204
Torgersen,Adelie,Female,3395.8333333333335,259.14435571983677
Torgersen,Adelie,Male,4034.782608695652,372.471714181913
